Temperature,MgCl2_concentration,pH_f,Incubation_time,DNase_I_concentration,Rectangles,Rods,Spheres,Diffusion_Coefficient
36.0,0.7,7.35,80,0.2,0.0,1.0,0.0,3.27
36.0,0.7,7.35,80,0.2,0.0,1.0,0.0,3.19
36.0,0.7,7.35,80,0.2,0.0,1.0,0.0,3.48
36.0,0.7,7.35,80,0.2,0.0,0.0,1.0,2.72
36.0,0.7,7.35,80,0.2,0.0,0.0,1.0,2.7
36.0,0.7,7.35,80,0.2,0.0,0.0,1.0,2.91
36.0,0.7,7.35,80,0.2,1.0,0.0,0.0,3.55
36.0,0.7,7.35,80,0.2,1.0,0.0,0.0,3.65
36.0,0.7,7.35,80,0.2,1.0,0.0,0.0,3.82
36.5,0.9,5.25,70,0.2,0.0,1.0,0.0,1.35
36.5,0.9,5.25,70,0.2,0.0,1.0,0.0,1.34
36.5,0.9,5.25,70,0.2,0.0,1.0,0.0,1.18
36.5,0.9,5.25,70,0.2,0.0,0.0,1.0,2.81
36.5,0.9,5.25,70,0.2,0.0,0.0,1.0,2.67
36.5,0.9,5.25,70,0.2,0.0,0.0,1.0,2.71
36.5,0.9,5.25,70,0.2,1.0,0.0,0.0,1.5
36.5,0.9,5.25,70,0.2,1.0,0.0,0.0,2.21
36.5,0.9,5.25,70,0.2,1.0,0.0,0.0,2.5
36.0,0.85,2.3,65,0.2,0.0,1.0,0.0,5.33
36.0,0.85,2.3,65,0.2,0.0,1.0,0.0,4.43
36.0,0.85,2.3,65,0.2,0.0,1.0,0.0,4.54
36.0,0.85,2.3,65,0.2,0.0,0.0,1.0,3.12
36.0,0.85,2.3,65,0.2,0.0,0.0,1.0,3.09
36.0,0.85,2.3,65,0.2,0.0,0.0,1.0,2.96
36.0,0.85,2.3,65,0.2,1.0,0.0,0.0,1.06
36.0,0.85,2.3,65,0.2,1.0,0.0,0.0,0.857
36.0,0.85,2.3,65,0.2,1.0,0.0,0.0,0.981
36.0,0.7,7.35,80,0.2,0.0,1.0,0.0,3.49
36.0,0.7,7.35,80,0.2,0.0,1.0,0.0,3.86
36.0,0.7,7.35,80,0.2,0.0,1.0,0.0,3.8
36.0,0.7,7.35,80,0.2,0.0,0.0,1.0,4.19
36.0,0.7,7.35,80,0.2,0.0,0.0,1.0,4.12
36.0,0.7,7.35,80,0.2,0.0,0.0,1.0,3.95
36.0,0.7,7.35,80,0.2,1.0,0.0,0.0,3.28
36.0,0.7,7.35,80,0.2,1.0,0.0,0.0,3.09
36.0,0.7,7.35,80,0.2,1.0,0.0,0.0,2.98
36.5,0.9,5.25,70,0.2,0.0,1.0,0.0,1.59
36.5,0.9,5.25,70,0.2,0.0,1.0,0.0,2.3
36.5,0.9,5.25,70,0.2,0.0,1.0,0.0,2.15
36.5,0.9,5.25,70,0.2,0.0,0.0,1.0,2.9
36.5,0.9,5.25,70,0.2,0.0,0.0,1.0,3.19
36.5,0.9,5.25,70,0.2,0.0,0.0,1.0,3.1
36.5,0.9,5.25,70,0.2,1.0,0.0,0.0,2.83
36.5,0.9,5.25,70,0.2,1.0,0.0,0.0,2.61
36.5,0.9,5.25,70,0.2,1.0,0.0,0.0,3.09
36.0,0.85,2.3,65,0.2,0.0,1.0,0.0,3.39
36.0,0.85,2.3,65,0.2,0.0,1.0,0.0,3.14
36.0,0.85,2.3,65,0.2,0.0,1.0,0.0,3.14
36.0,0.85,2.3,65,0.2,0.0,0.0,1.0,2.52
36.0,0.85,2.3,65,0.2,0.0,0.0,1.0,2.08
36.0,0.85,2.3,65,0.2,0.0,0.0,1.0,2.67
36.0,0.85,2.3,65,0.2,1.0,0.0,0.0,1.29
36.0,0.85,2.3,65,0.2,1.0,0.0,0.0,1.37
36.0,0.85,2.3,65,0.2,1.0,0.0,0.0,0.812
36.0,0.7,7.35,80,0.2,0.0,1.0,0.0,2.81
36.0,0.7,7.35,80,0.2,0.0,1.0,0.0,2.49
36.0,0.7,7.35,80,0.2,0.0,1.0,0.0,2.69
36.0,0.7,7.35,80,0.2,0.0,0.0,1.0,3.1
36.0,0.7,7.35,80,0.2,0.0,0.0,1.0,3.23
36.0,0.7,7.35,80,0.2,0.0,0.0,1.0,3.21
36.0,0.7,7.35,80,0.2,1.0,0.0,0.0,3.05
36.0,0.7,7.35,80,0.2,1.0,0.0,0.0,3.0
36.0,0.7,7.35,80,0.2,1.0,0.0,0.0,3.17
36.5,0.9,5.25,70,0.2,0.0,1.0,0.0,2.29
36.5,0.9,5.25,70,0.2,0.0,1.0,0.0,1.87
36.5,0.9,5.25,70,0.2,0.0,1.0,0.0,2.36
36.5,0.9,5.25,70,0.2,0.0,0.0,1.0,2.14
36.5,0.9,5.25,70,0.2,0.0,0.0,1.0,2.57
36.5,0.9,5.25,70,0.2,0.0,0.0,1.0,2.58
36.5,0.9,5.25,70,0.2,1.0,0.0,0.0,2.83
36.5,0.9,5.25,70,0.2,1.0,0.0,0.0,2.76
36.5,0.9,5.25,70,0.2,1.0,0.0,0.0,2.39
36.0,0.85,2.3,65,0.2,0.0,1.0,0.0,3.79
36.0,0.85,2.3,65,0.2,0.0,1.0,0.0,4.14
36.0,0.85,2.3,65,0.2,0.0,1.0,0.0,3.7
36.0,0.85,2.3,65,0.2,0.0,0.0,1.0,1.94
36.0,0.85,2.3,65,0.2,0.0,0.0,1.0,1.95
36.0,0.85,2.3,65,0.2,0.0,0.0,1.0,2.47
36.0,0.85,2.3,65,0.2,1.0,0.0,0.0,1.01
36.0,0.85,2.3,65,0.2,1.0,0.0,0.0,1.05
36.0,0.85,2.3,65,0.2,1.0,0.0,0.0,1.08
